BuildingName,BuildingAddress,BuildingType,BuildingSize,PublicSector,YearObtainedTOP_CSC,GreenMarkYearofAward,GreenMarkRating,GreenMarkStatus,GrossFloorArea_M2,PercentageOfAirconditionedFloorArea,AverageMonthlyBuildingOccupancyRate_percentage,NumberOfHotelRooms,TypeOfAirconditioningSystem,AgeOfNewestChiller_Airconditioner,CentralisedAirconditioningPlantEfficiency_kWRT,YearOfLastChillerPlantAuditHealthCheck,PercentageUsageOfLED,InstallationOfSolarPV,EUI2015_kWhM2Yr,EUI2016_kWhM2Yr,EUI2017_kWhM2Yr,EUIPerformanceComparedToPreviousYear,Benchmarking_EUI_Quartile,VoluntaryDisclosure,BuildingAge,TotalEnergy2017
FUJI XEROX TOWERS,"80 ANSON ROAD, SINGAPORE 079907",Office Building,Large,No,1989,2014,Platinum,Yes,48688,69,96,,Water Cooled Chilled Water Plant,7,0.59,2013,50,N,186.2,181.3,169.3,Improved,2nd Quartile,Y,29,8242878.4
CITY SQUARE MALL,"180 KITCHENER ROAD, SINGAPORE 208539",Retail Building,Large,No,2009,2015,Platinum,Yes,65640,62,93,,Water Cooled Chilled Water Plant,8,0.65,2015,75,Y,392.5,384.9,382.2,Improved,2nd Quartile,Y,9,25087608
REPUBLIC PLAZA,"9 RAFFLES PLACE, SINGAPORE 048619",Office Building,Large,No,1998,2014,Platinum,Yes,102356,80,80,,Water Cooled Chilled Water Plant,2,0.59,2017,4,N,244.9,242.7,212.4,Improved,3rd Quartile,Y,20,21740414.400000002
CENTRAL MALL,"1 MAGAZINE ROAD, SINGAPORE 059567",Office Building,Large,No,1999,2017,Platinum,Yes,15769,90,93,,Water Cooled Chilled Water Plant,4,0.65,2017,50,N,210.5,197.4,202.8,Worsened,3rd Quartile,Y,19,3197953.2
ONE KM,"11 TANJONG KATONG ROAD, SINGAPORE 437157",Retail Building,Large,No,2014,2015,Gold,Yes,28938,100,90,,Water Cooled Chilled Water Plant,1,0.62,2016,31,N,466.6,462.7,430.7,Improved,3rd Quartile,Y,4,12463596.6
,,Mixed Development,,,,,,No,,,,,,,,,,,287.3,284.5,281.2,Improved,3rd Quartile,N,,
GREATWOOD BUILDING,"43 CARPENTER STREET, SINGAPORE 059922",Office Building,Small,No,1984,,Not Certified,No,913,100,100,,"Others (Split Units, Unitary Systems)",32,,,0,N,275.8,247.5,222.5,Improved,3rd Quartile,Y,34,203142.5
TIALOC CENTRE,"731 NORTH BRIDGE ROAD, SINGAPORE 198699",Office Building,Small,No,2003,,Not Certified,No,385,94,100,,"Others (Split Units, Unitary Systems)",10,,,0,N,184.1,200.7,196.9,Improved,3rd Quartile,Y,15,75806.5
HPL HOUSE,"50 CUSCADEN ROAD, SINGAPORE 249724",Office Building,Small,No,1980,,Not Certified,No,7372,97,90,,"Others (Split Units, Unitary Systems)",4,,,3,N,329.5,312.2,277.9,Improved,Bottom Quartile,Y,38,2048678.7999999998
,"69 KEONG SAIK ROAD, SINGAPORE 089165",Hotel,Small,No,1997,,Not Certified,No,757,100,75,25,"Others (Split Units, Unitary Systems)",3,,,100,N,208.9,221.2,234.5,Worsened,2nd Quartile,Y,21,177516.5
